ADDRESS,POSTAL,POWER OUT TIME,POWER RESTORE TIME,POWER DURATION
6516 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6236 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6245 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5826 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5806 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5516 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6408 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6518 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6425 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6630 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
4212 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
4020 NW 60TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
5610 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3112 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
2720 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6025 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6114 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6115 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6007 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
4136 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3626 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
5631 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6642 NW 35TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6337 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3666 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6511 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3007 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6703 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3410 NW 61ST PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3930 NW 58TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6223 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3928 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6406 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
5731 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6605 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5904 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6049 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6333 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2920 NW 54TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
5600 NW 37TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3746 NW 65TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5600 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6218 NW 34TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
